date,region,category,product_name,internal_price,competitor_price,units_sold,inventory_level,revenue,price_index
2026-03-02,South,Apparel,Aero Daily Fitness Tee,25.38,25.28,43,12,1091.0,1.0
2026-03-02,South,Lifestyle,Aether Gym Pant,78.21,74.3,23,152,1799.0,1.05
2026-03-02,South,Lifestyle,Affirm Water Bottle,6.48,6.8,88,140,570.0,0.95
2026-03-02,South,Lifestyle,Aim Analog Watch,45.53,45.69,68,38,3096.0,1.0
2026-03-02,South,Lifestyle,Ajax Full-Zip Sweatshirt,65.84,69.88,58,114,3819.0,0.94
2026-03-02,South,Lifestyle,Ana Running Short,40.86,41.36,9,182,368.0,0.99
2026-03-02,South,Lifestyle,Angel Light Running Short,44.45,43.02,92,61,4089.0,1.03
2026-03-02,South,Lifestyle,Antonia Racer Tank,37.45,35.87,17,182,637.0,1.04
2026-03-02,South,Lifestyle,Apollo Running Short,30.74,32.12,13,60,400.0,0.96
2026-03-02,South,Lifestyle,Arcadio Gym Short,24.58,19.17,16,160,393.0,1.28
2026-03-02,South,Lifestyle,Argus All-Weather Tank,19.53,22.36,23,50,449.0,0.87
2026-03-02,South,Lifestyle,Ariel Roll Sleeve Sweatshirt,42.5,40.02,22,97,935.0,1.06
2026-03-02,South,Lifestyle,Artemis Running Short,44.09,45.9,17,169,750.0,0.96
2026-03-01,West,Apparel,Abominable Hoodie,65.26,70.41,91,12,5939.0,0.93
2026-03-01,West,Lifestyle,Adrienne Trek Jacket,56.07,55.91,99,188,5551.0,1.0
2026-03-01,West,Lifestyle,Aeon Capri,43.32,47.95,72,48,3119.0,0.9
2026-03-01,West,Apparel,Aero Daily Fitness Tee,23.61,24.83,83,157,1960.0,0.95
2026-03-01,West,Lifestyle,Aether Gym Pant,76.71,72.43,48,50,3682.0,1.06
2026-03-01,West,Lifestyle,Affirm Water Bottle,7.8,5.58,84,137,655.0,1.4
2026-03-01,West,Lifestyle,Aim Analog Watch,43.11,44.64,23,73,992.0,0.97
2026-03-01,West,Lifestyle,Ajax Full-Zip Sweatshirt,69.2,68.53,42,178,2906.0,1.01
2026-03-01,West,Lifestyle,Ana Running Short,40.44,40.43,22,163,890.0,1.0
2026-03-01,West,Lifestyle,Angel Light Running Short,37.77,41.57,70,29,2644.0,0.91
2026-03-01,West,Lifestyle,Antonia Racer Tank,31.93,33.14,34,29,1086.0,0.96
2026-03-01,West,Lifestyle,Apollo Running Short,28.96,33.27,32,70,927.0,0.87
2026-03-01,West,Lifestyle,Arcadio Gym Short,17.61,18.74,66,3,1162.0,0.94
2026-03-01,West,Lifestyle,Argus All-Weather Tank,26.26,21.74,53,157,1392.0,1.21
2026-03-01,West,Lifestyle,Ariel Roll Sleeve Sweatshirt,35.67,37.09,92,183,3282.0,0.96
2026-03-01,West,Lifestyle,Artemis Running Short,40.58,46.23,5,68,203.0,0.88
2026-03-01,East,Apparel,Abominable Hoodie,64.43,67.02,72,133,4639.0,0.96
2026-03-01,East,Lifestyle,Adrienne Trek Jacket,56.89,58.71,56,186,3186.0,0.97
2026-03-01,East,Lifestyle,Aeon Capri,50.97,47.61,21,21,1070.0,1.07
2026-03-01,East,Apparel,Aero Daily Fitness Tee,28.13,22.33,6,68,169.0,1.26
2026-03-01,East,Lifestyle,Aether Gym Pant,73.82,72.83,12,195,886.0,1.01
2026-03-01,East,Lifestyle,Affirm Water Bottle,5.15,6.17,76,120,391.0,0.83
2026-03-01,East,Lifestyle,Aim Analog Watch,48.87,43.61,89,48,4349.0,1.12
2026-03-01,East,Lifestyle,Ajax Full-Zip Sweatshirt,72.04,70.63,75,179,5403.0,1.02
2026-03-01,East,Lifestyle,Ana Running Short,38.42,41.15,50,103,1921.0,0.93
2026-03-01,East,Lifestyle,Angel Light Running Short,44.1,42.58,52,124,2293.0,1.04
2026-03-01,East,Lifestyle,Antonia Racer Tank,30.48,32.1,65,121,1981.0,0.95
2026-03-01,East,Lifestyle,Apollo Running Short,29.46,34.5,86,111,2534.0,0.85
2026-03-01,East,Lifestyle,Arcadio Gym Short,18.09,18.44,48,154,868.0,0.98
2026-03-01,East,Lifestyle,Argus All-Weather Tank,27.0,23.65,41,110,1107.0,1.14
2026-03-01,East,Lifestyle,Ariel Roll Sleeve Sweatshirt,38.72,39.89,47,13,1820.0,0.97
2026-03-01,East,Lifestyle,Artemis Running Short,48.31,44.77,26,192,1256.0,1.08
2026-03-01,Central,Apparel,Abominable Hoodie,73.96,67.5,75,151,5547.0,1.1
2026-03-01,Central,Lifestyle,Adrienne Trek Jacket,58.99,58.88,44,0,2596.0,1.0
2026-03-01,Central,Lifestyle,Aeon Capri,45.25,46.62,92,95,4163.0,0.97
2026-03-01,Central,Apparel,Aero Daily Fitness Tee,21.85,23.35,43,159,940.0,0.94
2026-03-01,Central,Lifestyle,Aether Gym Pant,73.35,73.64,98,175,7188.0,1.0
2026-03-01,Central,Lifestyle,Affirm Water Bottle,5.0,7.38,47,77,235.0,0.68
2026-03-01,Central,Lifestyle,Aim Analog Watch,44.19,46.53,68,29,3005.0,0.95
2026-03-01,Central,Lifestyle,Ajax Full-Zip Sweatshirt,68.07,67.4,66,96,4493.0,1.01
2026-03-01,Central,Lifestyle,Ana Running Short,35.54,41.57,57,12,2026.0,0.85
2026-03-01,Central,Lifestyle,Angel Light Running Short,41.86,42.23,93,14,3893.0,0.99
2026-03-01,Central,Lifestyle,Antonia Racer Tank,36.63,33.88,58,86,2125.0,1.08
2026-03-01,Central,Lifestyle,Apollo Running Short,32.36,32.84,87,118,2815.0,0.99
2026-03-01,Central,Lifestyle,Arcadio Gym Short,16.76,20.22,70,61,1173.0,0.83
2026-03-01,Central,Lifestyle,Argus All-Weather Tank,24.9,21.62,8,199,199.0,1.15
2026-03-01,Central,Lifestyle,Ariel Roll Sleeve Sweatshirt,37.48,39.59,79,110,2961.0,0.95
2026-03-01,Central,Lifestyle,Artemis Running Short,47.92,43.53,79,169,3786.0,1.1
2026-03-01,South,Apparel,Abominable Hoodie,67.16,70.96,95,8,6380.0,0.95
2026-03-01,South,Lifestyle,Adrienne Trek Jacket,60.65,58.46,92,24,5580.0,1.04
2026-03-01,South,Lifestyle,Aeon Capri,46.77,47.75,46,171,2151.0,0.98
2026-03-01,South,Apparel,Aero Daily Fitness Tee,25.97,22.2,11,5,286.0,1.17
2026-03-01,South,Lifestyle,Aether Gym Pant,71.67,74.4,73,61,5232.0,0.96
2026-03-01,South,Lifestyle,Affirm Water Bottle,7.21,8.49,47,145,339.0,0.85
2026-03-01,South,Lifestyle,Aim Analog Watch,49.63,45.62,88,18,4367.0,1.09
2026-03-01,South,Lifestyle,Ajax Full-Zip Sweatshirt,69.42,69.3,96,35,6664.0,1.0
2026-03-01,South,Lifestyle,Ana Running Short,38.04,40.46,56,180,2130.0,0.94
2026-03-01,South,Lifestyle,Angel Light Running Short,40.58,40.35,61,161,2475.0,1.01
2026-03-01,South,Lifestyle,Antonia Racer Tank,31.9,32.02,15,87,479.0,1.0
2026-03-01,South,Lifestyle,Apollo Running Short,30.63,31.18,48,101,1470.0,0.98
2026-03-01,South,Lifestyle,Arcadio Gym Short,19.87,18.55,21,156,417.0,1.07
2026-03-01,South,Lifestyle,Argus All-Weather Tank,17.47,22.06,27,37,472.0,0.79
2026-03-01,South,Lifestyle,Ariel Roll Sleeve Sweatshirt,40.86,40.79,68,105,2778.0,1.0
2026-03-01,South,Lifestyle,Artemis Running Short,49.09,45.02,8,16,393.0,1.09
2026-02-28,West,Apparel,Abominable Hoodie,72.02,67.2,99,136,7130.0,1.07
2026-02-28,West,Lifestyle,Adrienne Trek Jacket,59.6,55.12,81,137,4828.0,1.08
2026-02-28,West,Lifestyle,Aeon Capri,51.2,46.54,63,145,3226.0,1.1
2026-02-28,West,Apparel,Aero Daily Fitness Tee,25.56,25.03,31,76,792.0,1.02
2026-02-28,West,Lifestyle,Aether Gym Pant,77.13,75.12,50,58,3857.0,1.03
2026-02-28,West,Lifestyle,Affirm Water Bottle,8.52,5.31,64,46,545.0,1.6
2026-02-28,West,Lifestyle,Aim Analog Watch,45.03,46.13,17,137,766.0,0.98
2026-02-28,West,Lifestyle,Ajax Full-Zip Sweatshirt,73.42,68.98,76,137,5580.0,1.06
2026-02-28,West,Lifestyle,Ana Running Short,39.09,41.96,40,137,1564.0,0.93
2026-02-28,West,Lifestyle,Angel Light Running Short,43.44,40.35,15,108,652.0,1.08
2026-02-28,West,Lifestyle,Antonia Racer Tank,38.65,33.79,47,190,1817.0,1.14
2026-02-28,West,Lifestyle,Apollo Running Short,36.83,33.64,39,197,1436.0,1.09
2026-02-28,West,Lifestyle,Arcadio Gym Short,20.54,18.63,47,45,965.0,1.1
2026-02-28,West,Lifestyle,Argus All-Weather Tank,24.87,23.51,21,107,522.0,1.06
2026-02-28,West,Lifestyle,Ariel Roll Sleeve Sweatshirt,34.84,37.35,61,87,2125.0,0.93
2026-02-28,West,Lifestyle,Artemis Running Short,42.27,43.06,85,127,3593.0,0.98
2026-02-28,East,Apparel,Abominable Hoodie,64.66,67.63,24,109,1552.0,0.96
2026-02-28,East,Lifestyle,Adrienne Trek Jacket,60.38,56.35,32,56,1932.0,1.07
2026-02-28,East,Lifestyle,Aeon Capri,46.94,47.74,52,70,2441.0,0.98
2026-02-28,East,Apparel,Aero Daily Fitness Tee,28.08,22.37,73,33,2050.0,1.26
2026-02-28,East,Lifestyle,Aether Gym Pant,75.98,74.68,97,147,7370.0,1.02
2026-02-28,East,Lifestyle,Affirm Water Bottle,10.53,6.21,26,24,274.0,1.7
2026-02-28,East,Lifestyle,Aim Analog Watch,48.32,43.06,94,58,4542.0,1.12
2026-02-28,East,Lifestyle,Ajax Full-Zip Sweatshirt,64.73,70.26,94,61,6085.0,0.92
2026-02-28,East,Lifestyle,Ana Running Short,37.03,40.97,82,50,3036.0,0.9
2026-02-28,East,Lifestyle,Angel Light Running Short,40.32,43.2,14,139,564.0,0.93
2026-02-28,East,Lifestyle,Antonia Racer Tank,34.12,35.52,32,115,1092.0,0.96
2026-02-28,East,Lifestyle,Apollo Running Short,35.87,31.11,44,10,1578.0,1.15
2026-02-28,East,Lifestyle,Arcadio Gym Short,20.68,18.75,37,170,765.0,1.1
2026-02-28,East,Lifestyle,Argus All-Weather Tank,19.43,20.45,27,31,525.0,0.95
2026-02-28,East,Lifestyle,Ariel Roll Sleeve Sweatshirt,36.11,37.83,11,139,397.0,0.95
2026-02-28,East,Lifestyle,Artemis Running Short,40.67,46.92,31,10,1261.0,0.87
2026-02-28,Central,Apparel,Abominable Hoodie,66.91,67.68,58,154,3881.0,0.99
2026-02-28,Central,Lifestyle,Adrienne Trek Jacket,61.15,56.14,98,90,5993.0,1.09
2026-02-28,Central,Lifestyle,Aeon Capri,51.61,46.82,53,74,2735.0,1.1
2026-02-28,Central,Apparel,Aero Daily Fitness Tee,19.14,24.52,68,166,1302.0,0.78
2026-02-28,Central,Lifestyle,Aether Gym Pant,71.17,74.65,92,158,6548.0,0.95
2026-02-28,Central,Lifestyle,Affirm Water Bottle,5.0,8.53,5,102,25.0,0.59
2026-02-28,Central,Lifestyle,Aim Analog Watch,49.19,44.58,52,51,2558.0,1.1
2026-02-28,Central,Lifestyle,Ajax Full-Zip Sweatshirt,66.77,68.74,40,70,2671.0,0.97
2026-02-28,Central,Lifestyle,Ana Running Short,43.65,39.15,52,196,2270.0,1.11
2026-02-28,Central,Lifestyle,Angel Light Running Short,37.72,42.59,12,78,453.0,0.89
2026-02-28,Central,Lifestyle,Antonia Racer Tank,30.37,32.07,45,110,1367.0,0.95
2026-02-28,Central,Lifestyle,Apollo Running Short,34.57,31.7,92,173,3180.0,1.09
2026-02-28,Central,Lifestyle,Arcadio Gym Short,21.48,21.68,29,32,623.0,0.99
2026-02-28,Central,Lifestyle,Argus All-Weather Tank,22.09,21.88,6,58,133.0,1.01
2026-02-28,Central,Lifestyle,Ariel Roll Sleeve Sweatshirt,37.53,39.6,22,50,826.0,0.95
2026-02-28,Central,Lifestyle,Artemis Running Short,40.13,46.9,21,76,843.0,0.86
2026-02-28,South,Apparel,Abominable Hoodie,71.82,68.7,90,108,6464.0,1.05
2026-02-28,South,Lifestyle,Adrienne Trek Jacket,60.57,55.18,91,87,5512.0,1.1
2026-02-28,South,Lifestyle,Aeon Capri,49.43,46.36,38,148,1878.0,1.07
2026-02-28,South,Apparel,Aero Daily Fitness Tee,22.74,22.51,39,90,887.0,1.01
2026-02-28,South,Lifestyle,Aether Gym Pant,77.08,74.57,66,42,5087.0,1.03
2026-02-28,South,Lifestyle,Affirm Water Bottle,5.0,6.87,53,198,265.0,0.73
2026-02-28,South,Lifestyle,Aim Analog Watch,40.38,43.18,7,158,283.0,0.94
2026-02-28,South,Lifestyle,Ajax Full-Zip Sweatshirt,72.62,68.21,85,122,6173.0,1.06
2026-02-28,South,Lifestyle,Ana Running Short,41.49,40.31,41,55,1701.0,1.03
2026-02-28,South,Lifestyle,Angel Light Running Short,40.27,41.5,28,64,1128.0,0.97
2026-02-28,South,Lifestyle,Antonia Racer Tank,29.43,34.98,63,126,1854.0,0.84
2026-02-28,South,Lifestyle,Apollo Running Short,28.53,33.3,52,36,1484.0,0.86
2026-02-28,South,Lifestyle,Arcadio Gym Short,18.27,19.57,54,144,987.0,0.93
2026-02-28,South,Lifestyle,Argus All-Weather Tank,23.62,21.29,78,168,1842.0,1.11
2026-02-28,South,Lifestyle,Ariel Roll Sleeve Sweatshirt,37.3,40.67,99,155,3693.0,0.92
2026-02-28,South,Lifestyle,Artemis Running Short,48.64,45.35,86,131,4183.0,1.07
2026-02-27,West,Apparel,Abominable Hoodie,70.79,70.26,88,98,6230.0,1.01
2026-02-27,West,Lifestyle,Adrienne Trek Jacket,61.98,56.92,54,119,3347.0,1.09
2026-02-27,West,Lifestyle,Aeon Capri,43.72,47.3,43,55,1880.0,0.92
2026-02-27,West,Apparel,Aero Daily Fitness Tee,21.72,22.44,64,21,1390.0,0.97
2026-02-27,West,Lifestyle,Aether Gym Pant,76.39,74.45,98,10,7486.0,1.03
2026-02-27,West,Lifestyle,Affirm Water Bottle,6.94,8.31,79,147,548.0,0.84
2026-02-27,West,Lifestyle,Aim Analog Watch,46.69,44.78,54,69,2521.0,1.04
2026-02-27,West,Lifestyle,Ajax Full-Zip Sweatshirt,67.1,69.22,11,58,738.0,0.97
2026-02-27,West,Lifestyle,Ana Running Short,37.42,41.12,20,171,748.0,0.91
2026-02-27,West,Lifestyle,Angel Light Running Short,37.94,42.47,21,106,797.0,0.89
2026-02-27,West,Lifestyle,Antonia Racer Tank,34.61,35.7,40,34,1384.0,0.97
2026-02-27,West,Lifestyle,Apollo Running Short,36.1,33.58,10,135,361.0,1.08
2026-02-27,West,Lifestyle,Arcadio Gym Short,18.44,20.99,69,68,1272.0,0.88
2026-02-27,West,Lifestyle,Argus All-Weather Tank,25.23,21.16,22,64,555.0,1.19
2026-02-27,West,Lifestyle,Ariel Roll Sleeve Sweatshirt,40.19,37.49,88,13,3537.0,1.07
2026-02-27,West,Lifestyle,Artemis Running Short,42.06,44.58,6,108,252.0,0.94
2026-02-27,East,Apparel,Abominable Hoodie,68.88,70.44,89,63,6130.0,0.98
2026-02-27,East,Lifestyle,Adrienne Trek Jacket,55.31,57.87,99,9,5476.0,0.96
2026-02-27,East,Lifestyle,Aeon Capri,50.65,48.92,13,175,658.0,1.04
2026-02-27,East,Apparel,Aero Daily Fitness Tee,20.22,23.07,38,109,768.0,0.88
2026-02-27,East,Lifestyle,Aether Gym Pant,74.6,74.57,67,5,4998.0,1.0
2026-02-27,East,Lifestyle,Affirm Water Bottle,9.02,8.6,37,76,334.0,1.05
2026-02-27,East,Lifestyle,Aim Analog Watch,47.82,45.84,42,17,2008.0,1.04
2026-02-27,East,Lifestyle,Ajax Full-Zip Sweatshirt,68.66,67.43,17,189,1167.0,1.02
2026-02-27,East,Lifestyle,Ana Running Short,37.28,41.47,81,7,3020.0,0.9
2026-02-27,East,Lifestyle,Angel Light Running Short,38.25,41.59,35,180,1339.0,0.92
2026-02-27,East,Lifestyle,Antonia Racer Tank,29.39,34.02,50,77,1470.0,0.86
2026-02-27,East,Lifestyle,Apollo Running Short,33.98,33.72,49,142,1665.0,1.01
2026-02-27,East,Lifestyle,Arcadio Gym Short,15.08,20.92,36,55,543.0,0.72
2026-02-27,East,Lifestyle,Argus All-Weather Tank,18.0,23.25,92,42,1656.0,0.77
2026-02-27,East,Lifestyle,Ariel Roll Sleeve Sweatshirt,41.42,37.41,36,31,1491.0,1.11
2026-02-27,East,Lifestyle,Artemis Running Short,42.62,46.33,30,163,1279.0,0.92
2026-02-27,Central,Apparel,Abominable Hoodie,69.62,70.39,10,24,696.0,0.99
2026-02-27,Central,Lifestyle,Adrienne Trek Jacket,59.9,57.33,88,181,5271.0,1.04
2026-02-27,Central,Lifestyle,Aeon Capri,49.34,49.97,67,13,3306.0,0.99
2026-02-27,Central,Apparel,Aero Daily Fitness Tee,21.35,23.0,48,41,1025.0,0.93
2026-02-27,Central,Lifestyle,Aether Gym Pant,71.79,76.0,30,85,2154.0,0.94
2026-02-27,Central,Lifestyle,Affirm Water Bottle,5.0,6.67,87,20,435.0,0.75
2026-02-27,Central,Lifestyle,Aim Analog Watch,48.62,45.21,86,47,4181.0,1.08
2026-02-27,Central,Lifestyle,Ajax Full-Zip Sweatshirt,73.94,68.49,66,56,4880.0,1.08
2026-02-27,Central,Lifestyle,Ana Running Short,44.69,38.03,12,118,536.0,1.18
2026-02-27,Central,Lifestyle,Angel Light Running Short,43.11,43.31,6,178,259.0,1.0
2026-02-27,Central,Lifestyle,Antonia Racer Tank,37.11,35.2,91,138,3377.0,1.05
2026-02-27,Central,Lifestyle,Apollo Running Short,37.28,31.12,63,91,2349.0,1.2
2026-02-27,Central,Lifestyle,Arcadio Gym Short,17.02,18.5,61,117,1038.0,0.92
2026-02-27,Central,Lifestyle,Argus All-Weather Tank,25.61,23.14,72,92,1844.0,1.11
2026-02-27,Central,Lifestyle,Ariel Roll Sleeve Sweatshirt,37.49,37.66,58,62,2174.0,1.0
2026-02-27,Central,Lifestyle,Artemis Running Short,48.47,45.45,58,82,2811.0,1.07
2026-02-27,South,Apparel,Abominable Hoodie,70.53,69.69,40,29,2821.0,1.01
2026-02-27,South,Lifestyle,Adrienne Trek Jacket,52.26,55.9,52,25,2718.0,0.93
2026-02-27,South,Lifestyle,Aeon Capri,45.4,47.73,79,119,3587.0,0.95
2026-02-27,South,Apparel,Aero Daily Fitness Tee,24.77,24.55,6,147,149.0,1.01
2026-02-27,South,Lifestyle,Aether Gym Pant,73.33,73.11,66,128,4840.0,1.0
2026-02-27,South,Lifestyle,Affirm Water Bottle,11.72,8.79,82,43,961.0,1.33
2026-02-27,South,Lifestyle,Aim Analog Watch,48.89,45.88,66,197,3227.0,1.07
2026-02-27,South,Lifestyle,Ajax Full-Zip Sweatshirt,73.56,67.98,77,140,5664.0,1.08
2026-02-27,South,Lifestyle,Ana Running Short,40.65,40.04,77,198,3130.0,1.02
2026-02-27,South,Lifestyle,Angel Light Running Short,44.59,40.16,15,159,669.0,1.11
2026-02-27,South,Lifestyle,Antonia Racer Tank,31.19,35.06,89,80,2776.0,0.89
2026-02-27,South,Lifestyle,Apollo Running Short,35.42,33.14,30,93,1063.0,1.07
2026-02-27,South,Lifestyle,Arcadio Gym Short,16.63,20.75,59,52,981.0,0.8
2026-02-27,South,Lifestyle,Argus All-Weather Tank,23.84,22.2,35,99,834.0,1.07
2026-02-27,South,Lifestyle,Ariel Roll Sleeve Sweatshirt,36.0,37.67,28,176,1008.0,0.96
2026-02-27,South,Lifestyle,Artemis Running Short,40.16,45.05,38,92,1526.0,0.89
2026-02-26,West,Apparel,Abominable Hoodie,65.56,68.19,62,176,4065.0,0.96
2026-02-26,West,Lifestyle,Adrienne Trek Jacket,61.8,58.11,70,43,4326.0,1.06
2026-02-26,West,Lifestyle,Aeon Capri,51.47,46.74,37,108,1904.0,1.1
2026-02-26,West,Apparel,Aero Daily Fitness Tee,19.43,25.01,17,179,330.0,0.78
2026-02-26,West,Lifestyle,Aether Gym Pant,77.07,72.45,69,131,5318.0,1.06
2026-02-26,West,Lifestyle,Affirm Water Bottle,11.85,8.6,34,8,403.0,1.38
2026-02-26,West,Lifestyle,Aim Analog Watch,40.19,45.69,58,5,2331.0,0.88
2026-02-26,West,Lifestyle,Ajax Full-Zip Sweatshirt,72.79,68.74,16,92,1165.0,1.06
2026-02-26,West,Lifestyle,Ana Running Short,35.32,40.02,80,6,2826.0,0.88
2026-02-26,West,Lifestyle,Angel Light Running Short,39.48,41.02,37,48,1461.0,0.96
2026-02-26,West,Lifestyle,Antonia Racer Tank,35.83,33.21,51,6,1827.0,1.08
2026-02-26,West,Lifestyle,Apollo Running Short,30.32,30.8,6,48,182.0,0.98
2026-02-26,West,Lifestyle,Arcadio Gym Short,22.9,19.45,16,170,366.0,1.18
2026-02-26,West,Lifestyle,Argus All-Weather Tank,20.41,20.94,9,196,184.0,0.97
2026-02-26,West,Lifestyle,Ariel Roll Sleeve Sweatshirt,40.07,37.66,79,80,3166.0,1.06
2026-02-26,West,Lifestyle,Artemis Running Short,46.3,45.05,72,42,3334.0,1.03
2026-02-26,East,Apparel,Abominable Hoodie,64.19,70.68,57,113,3659.0,0.91
2026-02-26,East,Lifestyle,Adrienne Trek Jacket,57.39,55.86,54,132,3099.0,1.03
2026-02-26,East,Lifestyle,Aeon Capri,49.55,46.57,87,192,4311.0,1.06
2026-02-26,East,Apparel,Aero Daily Fitness Tee,21.31,25.47,89,117,1897.0,0.84
2026-02-26,East,Lifestyle,Aether Gym Pant,77.78,74.3,45,0,3500.0,1.05
2026-02-26,East,Lifestyle,Affirm Water Bottle,5.93,5.52,59,117,350.0,1.07
2026-02-26,East,Lifestyle,Aim Analog Watch,45.29,45.17,61,137,2763.0,1.0
2026-02-26,East,Lifestyle,Ajax Full-Zip Sweatshirt,73.42,67.4,47,198,3451.0,1.09
2026-02-26,East,Lifestyle,Ana Running Short,38.9,41.53,38,85,1478.0,0.94
2026-02-26,East,Lifestyle,Angel Light Running Short,39.62,41.46,22,56,872.0,0.96
2026-02-26,East,Lifestyle,Antonia Racer Tank,37.1,32.21,81,95,3005.0,1.15
2026-02-26,East,Lifestyle,Apollo Running Short,28.95,30.72,53,82,1534.0,0.94
2026-02-26,East,Lifestyle,Arcadio Gym Short,24.55,19.72,67,28,1645.0,1.24
2026-02-26,East,Lifestyle,Argus All-Weather Tank,21.46,21.9,33,52,708.0,0.98
2026-02-26,East,Lifestyle,Ariel Roll Sleeve Sweatshirt,35.45,37.33,9,168,319.0,0.95
2026-02-26,East,Lifestyle,Artemis Running Short,48.34,46.63,95,173,4592.0,1.04
2026-02-26,Central,Apparel,Abominable Hoodie,68.45,68.84,10,179,685.0,0.99
